Station,Pollutant,Period,Month,Pval_mean,Pval_med
Hamilton_Downtown,SO2,2017-2019,June,0.1303,0.093
Hamilton_Downtown,SO2,2020,January,0.2304,0.5945
Hamilton_Downtown,SO2,2020,February,0.6395,0.7966
Hamilton_Downtown,SO2,2020,March,0.9716,0.7423
Hamilton_Downtown,SO2,2020,April,0.3777,0.3772
Hamilton_Downtown,SO2,2020,May,0.7613,0.5212
Hamilton_Downtown,SO2,2020,June,0.3458,0.2891
Hamilton_West,O3,2017-2019,January,0.1883,0.2449
Hamilton_West,O3,2017-2019,February,0.3259,0.8674
Hamilton_West,O3,2017-2019,March,0.1255,0.4526
Hamilton_West,O3,2017-2019,April,0.2467,0.1187
Hamilton_West,O3,2017-2019,May,0.0178,0.0368
Hamilton_West,O3,2017-2019,June,0.2102,0.6912
Hamilton_West,O3,2020,January,0.192,0.3587
Hamilton_West,O3,2020,February,0.457,0.8626
Hamilton_West,O3,2020,March,0.0288,0.0145
Hamilton_West,O3,2020,April,0.4158,0.5001
Hamilton_West,O3,2020,May,0.4737,0.8853
Hamilton_West,O3,2020,June,0.0207,0.0162
Hamilton_West,PM25,2017-2019,January,0.6649,0.9868
Hamilton_West,PM25,2017-2019,February,0.5505,0.5637
Hamilton_West,PM25,2017-2019,March,0.0107,0.0277
Hamilton_West,PM25,2017-2019,April,0.2578,0.6973
Hamilton_West,PM25,2017-2019,May,0,2e-4
Hamilton_West,PM25,2017-2019,June,0.0122,0.0667
Hamilton_West,PM25,2020,January,0.5408,0.6624
Hamilton_West,PM25,2020,February,0.0315,0.1976
Hamilton_West,PM25,2020,March,0.3358,0.5116
Hamilton_West,PM25,2020,April,0.2627,0.376
Hamilton_West,PM25,2020,May,0.2676,0.0296
Hamilton_West,PM25,2020,June,0.6514,0.2723
Hamilton_West,NO2,2017-2019,January,0.3315,0.4488
Hamilton_West,NO2,2017-2019,February,0.7652,0.4287
Hamilton_West,NO2,2017-2019,March,0.019,0.1442
Hamilton_West,NO2,2017-2019,April,0.154,0.2822
Hamilton_West,NO2,2017-2019,May,0.1629,0.5831
Hamilton_West,NO2,2017-2019,June,0.0207,0.0138
Hamilton_West,NO2,2020,January,0.9537,0.4656
Hamilton_West,NO2,2020,February,0.0996,0.5617
Hamilton_West,NO2,2020,March,0.723,0.7123
Hamilton_West,NO2,2020,April,0.0568,0.1792
Hamilton_West,NO2,2020,May,0.1358,0.0902
Hamilton_West,NO2,2020,June,0.0659,0.1863
Hamilton_Mountain,O3,2017-2019,January,0.1978,0.2565
Hamilton_Mountain,O3,2017-2019,February,0.7089,0.9951
Hamilton_Mountain,O3,2017-2019,March,0.0462,0.0953
Hamilton_Mountain,O3,2017-2019,April,0.1566,0.1502
Hamilton_Mountain,O3,2017-2019,May,0.001,0.0104
Hamilton_Mountain,O3,2017-2019,June,0.8811,0.6423
Hamilton_Mountain,O3,2020,January,0.5597,0.9018
Hamilton_Mountain,O3,2020,February,0.2211,0.897
Hamilton_Mountain,O3,2020,March,0.0012,0.001
Hamilton_Mountain,O3,2020,April,0.1476,0.06
Hamilton_Mountain,O3,2020,May,0.2678,0.6857
Hamilton_Mountain,O3,2020,June,0.0194,0.0369
Hamilton_Mountain,PM25,2017-2019,January,0.9529,0.7877
Hamilton_Mountain,PM25,2017-2019,February,0.7025,0.653
Hamilton_Mountain,PM25,2017-2019,March,0.0119,0.0209
Hamilton_Mountain,PM25,2017-2019,April,0.8632,0.5836
Hamilton_Mountain,PM25,2017-2019,May,0.0194,0.0247
Hamilton_Mountain,PM25,2017-2019,June,0.0266,0.0444
Hamilton_Mountain,PM25,2020,January,0.6364,0.4904
Hamilton_Mountain,PM25,2020,February,0.0657,0.2675
Hamilton_Mountain,PM25,2020,March,0.2441,0.11
Hamilton_Mountain,PM25,2020,April,0.1454,0.1903
Hamilton_Mountain,PM25,2020,May,0.3571,0.423
Hamilton_Mountain,PM25,2020,June,0.5046,0.2836
Hamilton_Mountain,NO2,2017-2019,January,0.5952,0.2201
Hamilton_Mountain,NO2,2017-2019,February,0.7299,0.1809
Hamilton_Mountain,NO2,2017-2019,March,0.1856,0.3706
Hamilton_Mountain,NO2,2017-2019,April,0.3076,0.8103
Hamilton_Mountain,NO2,2017-2019,May,0.4647,0.5796
Hamilton_Mountain,NO2,2017-2019,June,0.3681,0.4094
Hamilton_Mountain,NO2,2020,January,0.9505,0.1964
Hamilton_Mountain,NO2,2020,February,0.2928,0.7826
Hamilton_Mountain,NO2,2020,March,0.4655,0.3722
Hamilton_Mountain,NO2,2020,April,0.0915,0.1118
Hamilton_Mountain,NO2,2020,May,0.6869,0.8596
Hamilton_Mountain,NO2,2020,June,0.4594,0.1047
Hamilton_Mountain,SO2,2017-2019,January,0.1018,0.1486
Hamilton_Mountain,SO2,2017-2019,February,0.0765,0.201
Hamilton_Mountain,SO2,2017-2019,March,0.1592,0.1983
Hamilton_Mountain,SO2,2017-2019,April,0.0457,0.0824
Hamilton_Mountain,SO2,2017-2019,May,0.0649,0.362
Hamilton_Mountain,SO2,2017-2019,June,0.0382,0.097
Hamilton_Mountain,SO2,2020,January,0.097,0.7959
Hamilton_Mountain,SO2,2020,February,0.7676,0.4583
Hamilton_Mountain,SO2,2020,March,0.0815,0.2025
Hamilton_Mountain,SO2,2020,April,0.6477,0.9538
Hamilton_Mountain,SO2,2020,May,0.7105,0.681
Hamilton_Mountain,SO2,2020,June,0.7968,0.1403
Kingston,O3,2017-2019,January,0.5859,0.8799
Kingston,O3,2017-2019,February,0.1577,0.2678
Kingston,O3,2017-2019,March,0.0532,0.152
Kingston,O3,2017-2019,April,0.033,0.0264
Kingston,O3,2017-2019,May,0.0014,0.0189
Kingston,O3,2017-2019,June,0.7826,0.5827
Kingston,O3,2020,January,0.4402,0.5023
Kingston,O3,2020,February,0.7563,0.9554
Kingston,O3,2020,March,0.0011,0.0079
Kingston,O3,2020,April,0.305,0.1888
Kingston,O3,2020,May,0.783,0.4274
Kingston,O3,2020,June,0.0389,0.0294
Kingston,PM25,2017-2019,January,0.0858,0.0168
Kingston,PM25,2017-2019,February,0.1826,0.1556
Kingston,PM25,2017-2019,March,0.0389,0.006
Kingston,PM25,2017-2019,April,0.2442,0.508
Kingston,PM25,2017-2019,May,0,1e-4
Kingston,PM25,2017-2019,June,0.3089,0.2815
Kingston,PM25,2020,January,0.97,0.9371
Kingston,PM25,2020,February,0.271,0.6498
Kingston,PM25,2020,March,0.6827,0.2167
Kingston,PM25,2020,April,0.1687,0.3858
Kingston,PM25,2020,May,0.6562,0.3822
Kingston,PM25,2020,June,0.1596,0.0869
Kingston,NO2,2017-2019,January,0.0054,0.0058
Kingston,NO2,2017-2019,February,0.3505,0.7819
Kingston,NO2,2017-2019,March,0.0794,0.2614
Kingston,NO2,2017-2019,April,0.2584,0.1565
Kingston,NO2,2017-2019,May,0.3177,0.5466
Kingston,NO2,2017-2019,June,0.0167,0.0185
Kingston,NO2,2020,January,0.2066,0.0178
Kingston,NO2,2020,February,0.0197,0.025
Kingston,NO2,2020,March,0.1535,0.6077
Kingston,NO2,2020,April,0.0164,0.0206
Kingston,NO2,2020,May,0.0279,0.2278
Kingston,NO2,2020,June,0.4198,0.9002
Kitchener,O3,2017-2019,January,0.6274,0.3957
Kitchener,O3,2017-2019,February,0.9136,0.4938
Kitchener,O3,2017-2019,March,0.9683,0.5279
Kitchener,O3,2017-2019,April,0.6602,0.5079
Kitchener,O3,2017-2019,May,0.0094,0.0212
Kitchener,O3,2017-2019,June,0.7007,0.24
Kitchener,O3,2020,January,0.687,0.8666
Kitchener,O3,2020,February,0.0326,0.2534
Kitchener,O3,2020,March,0,0.0065
Kitchener,O3,2020,April,0.4339,0.4938
Kitchener,O3,2020,May,0.044,0.753
Kitchener,O3,2020,June,0.044,0.0591
Kitchener,PM25,2017-2019,January,0.9177,0.9648
Kitchener,PM25,2017-2019,February,0.5778,0.9262
Kitchener,PM25,2017-2019,March,0.0102,0.0065
Kitchener,PM25,2017-2019,April,0.3265,0.781
Kitchener,PM25,2017-2019,May,0.0013,0.0068
