Station,Pollutant,Year,Month,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Brampton,NO2,2017-2019,April,1.8333333333333333,4.3375,8.839130434782609,9.218109369351605,11.99327122153209,23.608333333333334
Brampton,NO2,2017-2019,May,1.291304347826087,4.566666666666666,6.879166666666666,8.00957982016583,10.291666666666666,18.583333333333332
Brampton,NO2,2017-2019,June,1.6782608695652175,3.3479166666666664,5.329166666666667,6.117123878536922,8.041666666666666,15.620833333333334
Brampton,NO2,2020,January,1.8916666666666666,4.854166666666666,10.279166666666667,12.048952425960932,17.139583333333334,35.78333333333333
Brampton,NO2,2020,February,1.0083333333333333,5.244791666666667,6.933333333333334,6.656367753623188,8.177355072463767,11.904347826086957
Brampton,NO2,2020,March,1.0347826086956522,5.515625,8.883333333333333,10.209461462450593,15.069791666666667,27.533333333333335
Brampton,NO2,2020,April,0.20416666666666666,1.8687500000000001,4.723731884057971,4.802783267457181,6.611458333333333,12.595833333333333
Brampton,NO2,2020,May,0.7086956521739131,2.1875,4.258333333333334,5.654943064182195,8.7375,18.108333333333334
Brampton,NO2,2020,June,1.2,2.5645833333333337,4.4740036231884055,4.909470445562342,6.425,11.404545454545454
Chatham,O3,2017-2019,January,5.083333333333333,20.791666666666668,24.791666666666668,23.658311702357775,27.583333333333336,32.291666666666664
Chatham,O3,2017-2019,February,6.291666666666667,23.40625,28.645833333333336,27.95486111111111,32.75,38.541666666666664
Chatham,O3,2017-2019,March,21.541666666666668,31.510416666666668,34.196969696969695,33.511019283746556,35.40625,45.625
Chatham,O3,2017-2019,April,23,32.29166666666667,36.625,35.83862433862434,38.3125,49.916666666666664
Chatham,O3,2017-2019,May,23.041666666666668,30.416666666666668,34.916666666666664,35.17089371980676,39.125,51.791666666666664
Chatham,O3,2017-2019,June,19.666666666666668,30.479166666666664,35.458333333333336,35.405990173847314,40.02083333333333,52.583333333333336
Chatham,O3,2020,January,11.541666666666666,19.541666666666664,22.666666666666668,23.499606175173284,27.354166666666664,32.541666666666664
Chatham,O3,2020,February,21.375,28.854166666666668,30.8125,31.33125,34.072916666666664,38.583333333333336
Chatham,O3,2020,March,19.125,25.583333333333332,28.8125,28.039772727272727,30.791666666666668,34.208333333333336
Chatham,O3,2020,April,28.166666666666668,33.291666666666664,35.0625,35.178030303030305,36.739583333333336,42
Chatham,O3,2020,May,21.458333333333332,31.041666666666668,32.333333333333336,33.398809523809526,36.291666666666664,42.666666666666664
Chatham,O3,2020,June,27.958333333333332,33.322916666666664,39.48026315789474,38.31053356531825,42.020833333333336,51
Chatham,PM25,2017-2019,January,1.5833333333333333,3.7916666666666665,6.333333333333333,7.060539692840147,9.375,20.583333333333332
Chatham,PM25,2017-2019,February,1.25,4.3125,6.25,7.493055555555555,9.21875,21.166666666666668
Chatham,PM25,2017-2019,March,0.9166666666666666,3.4166666666666665,5.729166666666666,6.103953495998951,8.197916666666666,14.333333333333334
Chatham,PM25,2017-2019,April,0.16666666666666666,3.333333333333333,4.791666666666667,5.5564574314574315,7.229166666666666,14.541666666666666
Chatham,PM25,2017-2019,May,1.9166666666666667,3.375,5.25,6.194099378881988,8.166666666666666,14.833333333333334
Chatham,PM25,2017-2019,June,0.47619047619047616,3.083333333333333,6.291666666666667,6.437452758881331,9.3125,17
Chatham,PM25,2020,January,2.125,3.666666666666667,5.916666666666667,6.228260869565218,8.583333333333332,12.208333333333334
Chatham,PM25,2020,February,2.2083333333333335,3.40625,5.3125,5.589583333333334,6.416666666666667,14.291666666666666
Chatham,PM25,2020,March,2.6666666666666665,4.864583333333333,7.8125,7.3143939393939394,9.65625,12.541666666666666
Chatham,PM25,2020,April,2.1666666666666665,3.6979166666666665,4.9375,5.359848484848485,6.135416666666667,10.958333333333334
Chatham,PM25,2020,May,2.1666666666666665,3.125,5,5.666666666666667,8.083333333333334,10.541666666666666
Chatham,PM25,2020,June,0.75,4.489583333333333,7.4375,7.508539944903581,9.5625,21.791666666666668
Chatham,NO2,2017-2019,January,3.3333333333333335,5.210416666666667,7.458333333333333,7.879369457062514,10.0375,16.35
Chatham,NO2,2017-2019,February,3.2083333333333335,5.454166666666667,7.060416666666667,8.416805555555555,9.991666666666667,28.041666666666668
Chatham,NO2,2017-2019,March,1.3333333333333333,3.777083333333333,5.725,6.396350682146137,8.046875,17.0125
Chatham,NO2,2017-2019,April,2.1,3.9645833333333336,4.6375,4.758994708994709,5.333333333333333,11.3125
Chatham,NO2,2017-2019,May,1.8,3.4125,4.533333333333333,4.544280538302277,5.65,7.779166666666667
Chatham,NO2,2017-2019,June,1.276190476190476,3.020833333333333,4.075,4.254780801209373,5.36875,8.708333333333334
Chatham,NO2,2020,January,4.133333333333334,6.679166666666667,8.991666666666667,8.670289855072465,10.445833333333333,16.041666666666668
Chatham,NO2,2020,February,2.408333333333333,3.951041666666667,5.824999999999999,5.633333333333333,7.321875,10.175
Chatham,NO2,2020,March,2.35,4.0625,5.691666666666666,5.894128787878788,6.970833333333333,12.2875
Chatham,NO2,2020,April,2.279166666666667,2.9229166666666666,3.3979166666666667,3.90625,4.860416666666667,7.141666666666667
Chatham,NO2,2020,May,1.6916666666666667,2.341666666666667,3.7916666666666665,3.5976190476190477,4.358333333333333,5.6625
Chatham,NO2,2020,June,2.908333333333333,3.3593750000000004,4.293749999999999,4.356904269972452,5.010795454545454,6.320833333333334
Cornwall,O3,2017-2019,January,9.25,21.239583333333332,26.395833333333336,25.867497868712704,30.791666666666668,35.625
Cornwall,O3,2017-2019,February,10.708333333333334,24.854166666666668,31.041666666666664,29.02020202020202,34.479166666666664,39.625
Cornwall,O3,2017-2019,March,13.625,31.614583333333336,35.83333333333333,34.300378787878785,37.958333333333336,44.25
Cornwall,O3,2017-2019,April,21.875,31.75,35.291666666666664,34.77777777777778,38.145833333333336,51.833333333333336
Cornwall,O3,2017-2019,May,17.75,26.75,32.375,32.68317615514412,36.666666666666664,53.63157894736842
Cornwall,O3,2017-2019,June,10.958333333333334,23.75,26.80952380952381,28.263922685894737,31.583333333333336,59.833333333333336
Cornwall,O3,2020,January,11.625,19.41394927536232,24.375,24.481726528040326,30.208333333333336,34.875
Cornwall,O3,2020,February,12.826086956521738,25.875,29.354166666666664,28.55126811594203,34.3125,41.47826086956522
