"","Station","Pollutant","Period","Month","Ndays","Median","Pval","Pval_old"
"183","Brantford","PM25","2020","March",22,6.79166666666667,0.1382,0.1318
"184","Brantford","PM25","2020","April",22,5.20833333333333,0.6886,0.6978
"185","Brantford","PM25","2020","May",21,5.70833333333333,0.1002,0.126
"186","Brantford","PM25","2020","June",22,7.1875,0.3649,0.3751
"187","Brantford","PM25","2020","July",23,6.75,0.356,NA
"188","Brantford","PM25","2020","August",21,5.83333333333333,0.0956,NA
"189","Brantford","PM25","2020","September",22,5.41666666666667,0.5009,NA
"190","Brantford","PM25","2020","October",22,4.6875,0.7614,NA
"191","Brantford","PM25","2020","November",21,7.625,0.5914,NA
"192","Brantford","PM25","2020","December",23,6.83333333333333,0.9623,NA
"193","Brantford","NO2","2017-2019","January",68,6.08958333333333,0.082,0.1322
"194","Brantford","NO2","2017-2019","February",60,6.44583333333333,0.044,0.0487
"195","Brantford","NO2","2017-2019","March",66,4.97291666666667,0.6031,0.5889
"196","Brantford","NO2","2017-2019","April",63,4.94166666666667,0.281,0.2742
"197","Brantford","NO2","2017-2019","May",69,4.6625,0.0594,0.0617
"198","Brantford","NO2","2017-2019","June",63,3.79166666666667,0.1989,0.2022
"199","Brantford","NO2","2017-2019","July",66,3.6875,0.0832,NA
"200","Brantford","NO2","2017-2019","August",68,3.29886363636364,0.4028,NA
"201","Brantford","NO2","2017-2019","September",62,3.80625,0.4981,NA
"202","Brantford","NO2","2017-2019","October",68,3.99166666666667,0.7424,NA
"203","Brantford","NO2","2017-2019","November",65,6.79166666666667,0.7063,NA
"204","Brantford","NO2","2017-2019","December",64,7.08541666666667,0.8861,NA
"205","Brantford","NO2","2020","January",23,5.50416666666667,0.6802,0.6798
"206","Brantford","NO2","2020","February",20,5.24583333333333,0.4143,0.4099
"207","Brantford","NO2","2020","March",22,5.97916666666667,0.4529,0.4535
"208","Brantford","NO2","2020","April",22,3.36467391304348,0.0282,0.0264
"209","Brantford","NO2","2020","May",21,3.68260869565217,0.1101,0.1181
"210","Brantford","NO2","2020","June",22,3.38179347826087,0.3476,0.3492
"211","Brantford","NO2","2020","July",23,2.77083333333333,0.003,NA
"212","Brantford","NO2","2020","August",21,2.9695652173913,0.4361,NA
"213","Brantford","NO2","2020","September",22,3.13994565217391,0.1422,NA
"214","Brantford","NO2","2020","October",22,3.59375,0.4934,NA
"215","Brantford","NO2","2020","November",21,5.35833333333333,0.3115,NA
"216","Brantford","NO2","2020","December",23,5.15416666666667,0.0888,NA
"217","Burlington","O3","2017-2019","January",68,23.2291666666667,0.2722,0.3267
"218","Burlington","O3","2017-2019","February",60,27.7916666666667,0.4848,0.538
"219","Burlington","O3","2017-2019","March",66,32.5833333333333,0.6474,0.671
"220","Burlington","O3","2017-2019","April",63,33.75,0.9302,0.9386
"221","Burlington","O3","2017-2019","May",69,32.5416666666667,0.001,0.0024
"222","Burlington","O3","2017-2019","June",63,29.375,0.3892,0.425
"223","Burlington","O3","2017-2019","July",66,30.1875,0.0207,NA
"224","Burlington","O3","2017-2019","August",68,27.6041666666667,0.4386,NA
"225","Burlington","O3","2017-2019","September",62,21.7445175438597,0.7252,NA
"226","Burlington","O3","2017-2019","October",68,19.3333333333333,0.0281,NA
"227","Burlington","O3","2017-2019","November",65,18,0.1673,NA
"228","Burlington","O3","2017-2019","December",64,18.8125,0.0073,NA
"229","Burlington","O3","2020","January",23,25.375,0.2745,0.2833
"230","Burlington","O3","2020","February",20,29.280303030303,0.2718,0.2803
"231","Burlington","O3","2020","March",22,29.7916666666667,0.0705,0.0713
"232","Burlington","O3","2020","April",22,36.625,0.0629,0.0625
"233","Burlington","O3","2020","May",21,31.4583333333333,0.4546,0.453
"234","Burlington","O3","2020","June",22,36.9083333333333,0.0013,0.0012
"235","Burlington","O3","2020","July",23,33.0833333333333,0.2036,NA
"236","Burlington","O3","2020","August",21,24.9583333333333,0.3268,NA
"237","Burlington","O3","2020","September",22,23.25,0.4095,NA
"238","Burlington","O3","2020","October",22,19.1041666666667,0.9095,NA
"239","Burlington","O3","2020","November",21,20.8095238095238,0.1403,NA
